Resultados ordenados - 2025-06-06 09:59:25
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=250, m/n=5.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=5.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=6.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.5, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.6, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.7, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.8, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=7.9, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=8.0, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=8.1, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=8.2, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=8.3, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=250, m/n=8.4, WalkSAT Success: 0.0%, Total Flips: 750000, Time: 0.00 seconds

Resultados para n = 500:
----------------------------------------
c=10, Q=0.5, p=0.5, n=500, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 24449, Time: 12.30 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 27858, Time: 13.36 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 32764, Time: 13.22 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 39566, Time: 15.25 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 46901, Time: 16.21 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 58555, Time: 17.65 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 75864, Time: 20.60 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 92103, Time: 22.66 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 116256, Time: 25.93 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 175160, Time: 34.25 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 244510, Time: 70.36 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.6, WalkSAT Success: 96.0%, Total Flips: 396837, Time: 113.28 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.7, WalkSAT Success: 86.0%, Total Flips: 594207, Time: 158.18 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.8, WalkSAT Success: 52.0%, Total Flips: 947806, Time: 443.61 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=3.9, WalkSAT Success: 34.0%, Total Flips: 1206084, Time: 638.23 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.0, WalkSAT Success: 9.0%, Total Flips: 1430876, Time: 868.19 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.1, WalkSAT Success: 1.0%, Total Flips: 1499178, Time: 962.49 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 975.89 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 1005.61 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 1026.43 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.5, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.6, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.7, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.8, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=500, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 0.00 seconds
