Resultados ordenados - 2025-06-15 13:17:56
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=3.0, max_tries=10, max_flips=50, Success Rate: 100.0%, Total Flips: 3972, Time: 2.09 seconds
    p=0.5, n=50, m/n=3.1, max_tries=10, max_flips=50, Success Rate: 98.0%, Total Flips: 6226, Time: 2.23 seconds
    p=0.5, n=50, m/n=3.2, max_tries=10, max_flips=50, Success Rate: 97.0%, Total Flips: 8832, Time: 2.44 seconds
    p=0.5, n=50, m/n=3.3, max_tries=10, max_flips=50, Success Rate: 98.0%, Total Flips: 6906, Time: 2.32 seconds
    p=0.5, n=50, m/n=3.4, max_tries=10, max_flips=50, Success Rate: 96.0%, Total Flips: 10973, Time: 2.96 seconds
    p=0.5, n=50, m/n=3.5, max_tries=10, max_flips=50, Success Rate: 89.0%, Total Flips: 12075, Time: 2.70 seconds
    p=0.5, n=50, m/n=3.6, max_tries=10, max_flips=50, Success Rate: 92.0%, Total Flips: 12155, Time: 2.85 seconds
    p=0.5, n=50, m/n=3.7, max_tries=10, max_flips=50, Success Rate: 81.0%, Total Flips: 18571, Time: 3.46 seconds
    p=0.5, n=50, m/n=3.8, max_tries=10, max_flips=50, Success Rate: 65.0%, Total Flips: 25557, Time: 4.04 seconds
    p=0.5, n=50, m/n=3.9, max_tries=10, max_flips=50, Success Rate: 54.0%, Total Flips: 30048, Time: 4.63 seconds
    p=0.5, n=50, m/n=4.0, max_tries=10, max_flips=50, Success Rate: 48.0%, Total Flips: 32882, Time: 5.08 seconds
    p=0.5, n=50, m/n=4.1, max_tries=10, max_flips=50, Success Rate: 43.0%, Total Flips: 34980, Time: 5.67 seconds
    p=0.5, n=50, m/n=4.2, max_tries=10, max_flips=50, Success Rate: 33.0%, Total Flips: 39212, Time: 6.50 seconds
    p=0.5, n=50, m/n=4.3, max_tries=10, max_flips=50, Success Rate: 25.0%, Total Flips: 41934, Time: 7.80 seconds
    p=0.5, n=50, m/n=4.4, max_tries=10, max_flips=50, Success Rate: 22.0%, Total Flips: 41854, Time: 7.09 seconds
